temperature, rainfall, humidity, yeild1, yeild2, yeild3
44.00  ,  39.00  ,  49.00  ,  523.50  ,  523.50  ,  1721.00
25.00  ,  78.00  ,  31.00  ,  399.10  ,  399.10  ,  1748.00
52.00  ,  84.00  ,  47.00  ,  567.60  ,  567.60  ,  2374.00
20.00  ,  98.00  ,  71.00  ,  790.60  ,  790.60  ,  2508.00
99.00  ,  47.00  ,  67.00  ,  727.00  ,  727.00  ,  2737.00
68.00  ,  83.00  ,  94.00  ,  1006.70  ,  1006.70  ,  3211.00
38.00  ,  90.00  ,  20.00  ,  320.00  ,  320.00  ,  1906.00
99.00  ,  67.00  ,  43.00  ,  532.20  ,  532.20  ,  2661.00
53.00  ,  71.00  ,  39.00  ,  477.60  ,  477.60  ,  2105.00
85.00  ,  30.00  ,  49.00  ,  532.30  ,  532.30  ,  2096.00
90.00  ,  20.00  ,  43.00  ,  466.60  ,  466.60  ,  1942.00
62.00  ,  67.00  ,  38.00  ,  467.70  ,  467.70  ,  2147.00
81.00  ,  81.00  ,  78.00  ,  863.40  ,  863.40  ,  3117.00
23.00  ,  69.00  ,  65.00  ,  699.20  ,  699.20  ,  2083.00
86.00  ,  66.00  ,  22.00  ,  331.20  ,  331.20  ,  2198.00
58.00  ,  89.00  ,  76.00  ,  843.90  ,  843.90  ,  2917.00
28.00  ,  51.00  ,  88.00  ,  889.90  ,  889.90  ,  2231.00
98.00  ,  33.00  ,  76.00  ,  791.10  ,  791.10  ,  2669.00
41.00  ,  22.00  ,  84.00  ,  821.90  ,  821.90  ,  1954.00
52.00  ,  69.00  ,  60.00  ,  667.70  ,  667.70  ,  2361.00
46.00  ,  68.00  ,  38.00  ,  461.00  ,  461.00  ,  1968.00
87.00  ,  35.00  ,  54.00  ,  585.80  ,  585.80  ,  2255.00
37.00  ,  76.00  ,  74.00  ,  798.10  ,  798.10  ,  2468.00
86.00  ,  80.00  ,  40.00  ,  515.00  ,  515.00  ,  2632.00
57.00  ,  86.00  ,  45.00  ,  554.30  ,  554.30  ,  2432.00
31.00  ,  94.00  ,  87.00  ,  938.10  ,  938.10  ,  2812.00
45.00  ,  31.00  ,  46.00  ,  486.00  ,  486.00  ,  1587.00
26.00  ,  20.00  ,  31.00  ,  324.20  ,  324.20  ,  1006.00
56.00  ,  36.00  ,  68.00  ,  700.40  ,  700.40  ,  2092.00
96.00  ,  96.00  ,  48.00  ,  614.40  ,  614.40  ,  3072.00
35.00  ,  57.00  ,  23.00  ,  303.20  ,  303.20  ,  1483.00
51.00  ,  28.00  ,  78.00  ,  779.50  ,  779.50  ,  2068.00
44.00  ,  40.00  ,  78.00  ,  791.60  ,  791.60  ,  2140.00
69.00  ,  44.00  ,  78.00  ,  809.30  ,  809.30  ,  2492.00
52.00  ,  29.00  ,  84.00  ,  836.50  ,  836.50  ,  2177.00
49.00  ,  91.00  ,  85.00  ,  924.80  ,  924.80  ,  2961.00
44.00  ,  45.00  ,  51.00  ,  549.70  ,  549.70  ,  1827.00
92.00  ,  48.00  ,  78.00  ,  826.00  ,  826.00  ,  2820.00
37.00  ,  30.00  ,  42.00  ,  443.90  ,  443.90  ,  1422.00
62.00  ,  34.00  ,  59.00  ,  618.00  ,  618.00  ,  2012.00
66.00  ,  71.00  ,  61.00  ,  686.50  ,  686.50  ,  2569.00
100.00  ,  77.00  ,  20.00  ,  334.10  ,  334.10  ,  2481.00
95.00  ,  30.00  ,  25.00  ,  316.50  ,  316.50  ,  1880.00
86.00  ,  45.00  ,  100.00  ,  1021.50  ,  1021.50  ,  3017.00
70.00  ,  60.00  ,  99.00  ,  1023.80  ,  1023.80  ,  3006.00
37.00  ,  36.00  ,  55.00  ,  571.30  ,  571.30  ,  1682.00
50.00  ,  33.00  ,  26.00  ,  307.10  ,  307.10  ,  1393.00
33.00  ,  40.00  ,  64.00  ,  657.30  ,  657.30  ,  1812.00
86.00  ,  98.00  ,  25.00  ,  400.40  ,  400.40  ,  2656.00
57.00  ,  75.00  ,  21.00  ,  319.20  ,  319.20  ,  1953.00
53.00  ,  24.00  ,  73.00  ,  729.30  ,  729.30  ,  1970.00
34.00  ,  78.00  ,  23.00  ,  330.00  ,  330.00  ,  1744.00
55.00  ,  45.00  ,  42.00  ,  472.40  ,  472.40  ,  1833.00
89.00  ,  84.00  ,  82.00  ,  908.10  ,  908.10  ,  3308.00
68.00  ,  47.00  ,  84.00  ,  867.90  ,  867.90  ,  2603.00
48.00  ,  87.00  ,  38.00  ,  486.70  ,  486.70  ,  2239.00
45.00  ,  67.00  ,  67.00  ,  726.00  ,  726.00  ,  2349.00
44.00  ,  29.00  ,  77.00  ,  768.10  ,  768.10  ,  1983.00
79.00  ,  72.00  ,  58.00  ,  666.70  ,  666.70  ,  2696.00
31.00  ,  70.00  ,  96.00  ,  989.70  ,  989.70  ,  2626.00
31.00  ,  73.00  ,  49.00  ,  561.20  ,  561.20  ,  2007.00
92.00  ,  56.00  ,  85.00  ,  900.80  ,  900.80  ,  3022.00
69.00  ,  60.00  ,  85.00  ,  894.50  ,  894.50  ,  2798.00
66.00  ,  26.00  ,  35.00  ,  388.80  ,  388.80  ,  1620.00
94.00  ,  81.00  ,  79.00  ,  879.10  ,  879.10  ,  3287.00
29.00  ,  71.00  ,  65.00  ,  704.80  ,  704.80  ,  2181.00
23.00  ,  97.00  ,  21.00  ,  330.80  ,  330.80  ,  1831.00
74.00  ,  64.00  ,  85.00  ,  902.20  ,  902.20  ,  2910.00
39.00  ,  86.00  ,  76.00  ,  830.50  ,  830.50  ,  2650.00
22.00  ,  83.00  ,  52.00  ,  597.30  ,  597.30  ,  2071.00
32.00  ,  21.00  ,  59.00  ,  586.10  ,  586.10  ,  1483.00
37.00  ,  87.00  ,  61.00  ,  692.80  ,  692.80  ,  2429.00
29.00  ,  85.00  ,  64.00  ,  713.80  ,  713.80  ,  2349.00
94.00  ,  72.00  ,  48.00  ,  582.20  ,  582.20  ,  2736.00
85.00  ,  83.00  ,  73.00  ,  822.00  ,  822.00  ,  3121.00
48.00  ,  65.00  ,  25.00  ,  338.50  ,  338.50  ,  1771.00
50.00  ,  91.00  ,  77.00  ,  851.70  ,  851.70  ,  2861.00
23.00  ,  36.00  ,  40.00  ,  426.30  ,  426.30  ,  1304.00
46.00  ,  72.00  ,  51.00  ,  585.80  ,  585.80  ,  2202.00
90.00  ,  68.00  ,  95.00  ,  1007.40  ,  1007.40  ,  3294.00
47.00  ,  58.00  ,  32.00  ,  393.30  ,  393.30  ,  1766.00
80.00  ,  85.00  ,  85.00  ,  932.50  ,  932.50  ,  3255.00
73.00  ,  76.00  ,  36.00  ,  466.50  ,  466.50  ,  2368.00
26.00  ,  89.00  ,  95.00  ,  1002.70  ,  1002.70  ,  2799.00
84.00  ,  27.00  ,  37.00  ,  417.50  ,  417.50  ,  1877.00
55.00  ,  37.00  ,  57.00  ,  600.00  ,  600.00  ,  1939.00
41.00  ,  97.00  ,  59.00  ,  689.40  ,  689.40  ,  2579.00
30.00  ,  21.00  ,  41.00  ,  419.50  ,  419.50  ,  1207.00
24.00  ,  62.00  ,  32.00  ,  387.00  ,  387.00  ,  1542.00
73.00  ,  58.00  ,  73.00  ,  783.50  ,  783.50  ,  2652.00
57.00  ,  82.00  ,  67.00  ,  751.50  ,  751.50  ,  2688.00
66.00  ,  30.00  ,  60.00  ,  624.00  ,  624.00  ,  2022.00
36.00  ,  87.00  ,  41.00  ,  508.30  ,  508.30  ,  2137.00
96.00  ,  25.00  ,  86.00  ,  871.70  ,  871.70  ,  2681.00
45.00  ,  89.00  ,  20.00  ,  322.20  ,  322.20  ,  1977.00
46.00  ,  72.00  ,  64.00  ,  705.40  ,  705.40  ,  2384.00
77.00  ,  77.00  ,  75.00  ,  828.60  ,  828.60  ,  2975.00
29.00  ,  65.00  ,  62.00  ,  669.40  ,  669.40  ,  2061.00
80.00  ,  44.00  ,  90.00  ,  925.20  ,  925.20  ,  2792.00
43.00  ,  25.00  ,  94.00  ,  918.80  ,  918.80  ,  2157.00
55.00  ,  86.00  ,  76.00  ,  838.50  ,  838.50  ,  2842.00
45.00  ,  53.00  ,  77.00  ,  799.80  ,  799.80  ,  2307.00
35.00  ,  85.00  ,  38.00  ,  477.60  ,  477.60  ,  2057.00
63.00  ,  38.00  ,  22.00  ,  283.30  ,  283.30  ,  1558.00
36.00  ,  87.00  ,  59.00  ,  673.90  ,  673.90  ,  2389.00
92.00  ,  22.00  ,  32.00  ,  369.00  ,  369.00  ,  1838.00
100.00  ,  58.00  ,  90.00  ,  953.40  ,  953.40  ,  3214.00
31.00  ,  98.00  ,  78.00  ,  860.50  ,  860.50  ,  2738.00
86.00  ,  21.00  ,  82.00  ,  824.70  ,  824.70  ,  2453.00
35.00  ,  56.00  ,  60.00  ,  642.30  ,  642.30  ,  1988.00
63.00  ,  37.00  ,  81.00  ,  824.80  ,  824.80  ,  2371.00
45.00  ,  89.00  ,  80.00  ,  874.20  ,  874.20  ,  2817.00
43.00  ,  59.00  ,  61.00  ,  659.40  ,  659.40  ,  2137.00
40.00  ,  47.00  ,  54.00  ,  577.90  ,  577.90  ,  1847.00
83.00  ,  35.00  ,  68.00  ,  712.60  ,  712.60  ,  2403.00
89.00  ,  75.00  ,  55.00  ,  648.00  ,  648.00  ,  2813.00
80.00  ,  52.00  ,  91.00  ,  944.80  ,  944.80  ,  2910.00
100.00  ,  34.00  ,  60.00  ,  646.20  ,  646.20  ,  2482.00
84.00  ,  61.00  ,  31.00  ,  406.50  ,  406.50  ,  2235.00
72.00  ,  46.00  ,  45.00  ,  509.80  ,  509.80  ,  2092.00
95.00  ,  29.00  ,  77.00  ,  793.60  ,  793.60  ,  2595.00
81.00  ,  36.00  ,  28.00  ,  344.90  ,  344.90  ,  1832.00
55.00  ,  65.00  ,  29.00  ,  378.80  ,  378.80  ,  1911.00
60.00  ,  35.00  ,  40.00  ,  443.50  ,  443.50  ,  1735.00
48.00  ,  76.00  ,  85.00  ,  904.80  ,  904.80  ,  2754.00
82.00  ,  91.00  ,  95.00  ,  1033.30  ,  1033.30  ,  3497.00
48.00  ,  24.00  ,  45.00  ,  469.20  ,  469.20  ,  1518.00
98.00  ,  42.00  ,  28.00  ,  361.20  ,  361.20  ,  2114.00
76.00  ,  81.00  ,  31.00  ,  428.50  ,  428.50  ,  2399.00
93.00  ,  91.00  ,  88.00  ,  974.40  ,  974.40  ,  3531.00
84.00  ,  48.00  ,  57.00  ,  628.80  ,  628.80  ,  2430.00
73.00  ,  48.00  ,  64.00  ,  687.70  ,  687.70  ,  2396.00
55.00  ,  37.00  ,  46.00  ,  498.80  ,  498.80  ,  1785.00
74.00  ,  92.00  ,  90.00  ,  984.60  ,  984.60  ,  3344.00
23.00  ,  44.00  ,  90.00  ,  896.70  ,  896.70  ,  2108.00
52.00  ,  86.00  ,  41.00  ,  515.00  ,  515.00  ,  2316.00
76.00  ,  79.00  ,  25.00  ,  370.70  ,  370.70  ,  2289.00
51.00  ,  22.00  ,  86.00  ,  845.30  ,  845.30  ,  2102.00
25.00  ,  77.00  ,  78.00  ,  830.20  ,  830.20  ,  2393.00
94.00  ,  65.00  ,  74.00  ,  812.30  ,  812.30  ,  3009.00
39.00  ,  32.00  ,  29.00  ,  327.90  ,  327.90  ,  1290.00
87.00  ,  86.00  ,  100.00  ,  1075.30  ,  1075.30  ,  3562.00
51.00  ,  70.00  ,  29.00  ,  383.30  ,  383.30  ,  1928.00
40.00  ,  40.00  ,  75.00  ,  762.00  ,  762.00  ,  2050.00
37.00  ,  55.00  ,  69.00  ,  724.80  ,  724.80  ,  2125.00
57.00  ,  28.00  ,  25.00  ,  294.90  ,  294.90  ,  1398.00
65.00  ,  63.00  ,  51.00  ,  583.60  ,  583.60  ,  2313.00
42.00  ,  77.00  ,  71.00  ,  774.30  ,  774.30  ,  2499.00
64.00  ,  83.00  ,  72.00  ,  802.30  ,  802.30  ,  2855.00
61.00  ,  80.00  ,  36.00  ,  465.70  ,  465.70  ,  2276.00
98.00  ,  89.00  ,  50.00  ,  624.70  ,  624.70  ,  3033.00
66.00  ,  86.00  ,  77.00  ,  853.20  ,  853.20  ,  2988.00
35.00  ,  76.00  ,  96.00  ,  999.50  ,  999.50  ,  2752.00
30.00  ,  57.00  ,  38.00  ,  438.70  ,  438.70  ,  1633.00
38.00  ,  97.00  ,  98.00  ,  1046.70  ,  1046.70  ,  3089.00
100.00  ,  73.00  ,  22.00  ,  347.30  ,  347.30  ,  2457.00
20.00  ,  97.00  ,  79.00  ,  862.90  ,  862.90  ,  2607.00
51.00  ,  66.00  ,  100.00  ,  1031.30  ,  1031.30  ,  2870.00
33.00  ,  62.00  ,  31.00  ,  382.30  ,  382.30  ,  1636.00
58.00  ,  41.00  ,  37.00  ,  422.70  ,  422.70  ,  1747.00
35.00  ,  95.00  ,  25.00  ,  371.00  ,  371.00  ,  2005.00
77.00  ,  34.00  ,  64.00  ,  671.50  ,  671.50  ,  2262.00
49.00  ,  48.00  ,  86.00  ,  878.10  ,  878.10  ,  2416.00
61.00  ,  28.00  ,  55.00  ,  572.90  ,  572.90  ,  1866.00
27.00  ,  55.00  ,  86.00  ,  876.20  ,  876.20  ,  2243.00
67.00  ,  69.00  ,  23.00  ,  334.80  ,  334.80  ,  2023.00
55.00  ,  79.00  ,  79.00  ,  857.00  ,  857.00  ,  2793.00
25.00  ,  98.00  ,  72.00  ,  802.30  ,  802.30  ,  2582.00
27.00  ,  60.00  ,  40.00  ,  459.50  ,  459.50  ,  1664.00
40.00  ,  93.00  ,  82.00  ,  895.30  ,  895.30  ,  2837.00
33.00  ,  58.00  ,  75.00  ,  781.90  ,  781.90  ,  2200.00
85.00  ,  95.00  ,  73.00  ,  837.60  ,  837.60  ,  3277.00
79.00  ,  50.00  ,  47.00  ,  536.90  ,  536.90  ,  2256.00
79.00  ,  21.00  ,  22.00  ,  269.20  ,  269.20  ,  1529.00
39.00  ,  22.00  ,  76.00  ,  747.30  ,  747.30  ,  1818.00
25.00  ,  85.00  ,  78.00  ,  840.60  ,  840.60  ,  2497.00
81.00  ,  96.00  ,  63.00  ,  744.90  ,  744.90  ,  3102.00
90.00  ,  76.00  ,  61.00  ,  705.00  ,  705.00  ,  2922.00
58.00  ,  31.00  ,  27.00  ,  317.70  ,  317.70  ,  1477.00
49.00  ,  40.00  ,  34.00  ,  389.30  ,  389.30  ,  1584.00
60.00  ,  35.00  ,  43.00  ,  471.10  ,  471.10  ,  1777.00
63.00  ,  85.00  ,  56.00  ,  657.20  ,  657.20  ,  2645.00
28.00  ,  32.00  ,  28.00  ,  313.20  ,  313.20  ,  1144.00
46.00  ,  54.00  ,  57.00  ,  617.60  ,  617.60  ,  2052.00
36.00  ,  52.00  ,  96.00  ,  968.80  ,  968.80  ,  2452.00
82.00  ,  74.00  ,  44.00  ,  542.00  ,  542.00  ,  2562.00
48.00  ,  35.00  ,  35.00  ,  391.50  ,  391.50  ,  1521.00
96.00  ,  30.00  ,  25.00  ,  317.00  ,  317.00  ,  1892.00
65.00  ,  83.00  ,  77.00  ,  848.80  ,  848.80  ,  2937.00
80.00  ,  63.00  ,  51.00  ,  591.10  ,  591.10  ,  2493.00
85.00  ,  96.00  ,  78.00  ,  884.90  ,  884.90  ,  3360.00
83.00  ,  42.00  ,  83.00  ,  859.70  ,  859.70  ,  2704.00
84.00  ,  25.00  ,  72.00  ,  736.90  ,  736.90  ,  2341.00
54.00  ,  60.00  ,  80.00  ,  841.00  ,  841.00  ,  2548.00
62.00  ,  70.00  ,  97.00  ,  1014.40  ,  1014.40  ,  3012.00
79.00  ,  63.00  ,  57.00  ,  645.80  ,  645.80  ,  2565.00
58.00  ,  81.00  ,  43.00  ,  529.90  ,  529.90  ,  2351.00
30.00  ,  40.00  ,  72.00  ,  729.40  ,  729.40  ,  1888.00
86.00  ,  89.00  ,  23.00  ,  370.30  ,  370.30  ,  2511.00
80.00  ,  35.00  ,  49.00  ,  536.30  ,  536.30  ,  2101.00
69.00  ,  60.00  ,  85.00  ,  894.50  ,  894.50  ,  2798.00
42.00  ,  48.00  ,  94.00  ,  948.20  ,  948.20  ,  2444.00
36.00  ,  99.00  ,  49.00  ,  597.50  ,  597.50  ,  2405.00
58.00  ,  98.00  ,  22.00  ,  358.80  ,  358.80  ,  2278.00
56.00  ,  90.00  ,  91.00  ,  982.20  ,  982.20  ,  3116.00
57.00  ,  95.00  ,  88.00  ,  961.60  ,  961.60  ,  3151.00
21.00  ,  30.00  ,  30.00  ,  325.50  ,  325.50  ,  1062.00
80.00  ,  86.00  ,  80.00  ,  887.80  ,  887.80  ,  3198.00
21.00  ,  80.00  ,  83.00  ,  878.10  ,  878.10  ,  2454.00
92.00  ,  28.00  ,  89.00  ,  901.20  ,  901.20  ,  2714.00
78.00  ,  51.00  ,  29.00  ,  372.10  ,  372.10  ,  2005.00
38.00  ,  32.00  ,  36.00  ,  391.80  ,  391.80  ,  1376.00
90.00  ,  81.00  ,  58.00  ,  683.90  ,  683.90  ,  2945.00
56.00  ,  30.00  ,  72.00  ,  729.40  ,  729.40  ,  2070.00
44.00  ,  26.00  ,  21.00  ,  249.00  ,  249.00  ,  1160.00
68.00  ,  99.00  ,  35.00  ,  484.70  ,  484.70  ,  2593.00
55.00  ,  24.00  ,  63.00  ,  638.30  ,  638.30  ,  1854.00
45.00  ,  27.00  ,  45.00  ,  471.60  ,  471.60  ,  1521.00
30.00  ,  28.00  ,  51.00  ,  520.60  ,  520.60  ,  1438.00
71.00  ,  65.00  ,  45.00  ,  534.00  ,  534.00  ,  2327.00
52.00  ,  76.00  ,  22.00  ,  327.20  ,  327.20  ,  1920.00
68.00  ,  40.00  ,  86.00  ,  877.20  ,  877.20  ,  2540.00
76.00  ,  35.00  ,  57.00  ,  607.90  ,  607.90  ,  2165.00
60.00  ,  70.00  ,  32.00  ,  415.40  ,  415.40  ,  2078.00
41.00  ,  59.00  ,  21.00  ,  290.40  ,  290.40  ,  1553.00
83.00  ,  40.00  ,  21.00  ,  286.70  ,  286.70  ,  1810.00
99.00  ,  61.00  ,  53.00  ,  616.40  ,  616.40  ,  2723.00
71.00  ,  72.00  ,  95.00  ,  1003.10  ,  1003.10  ,  3118.00
49.00  ,  68.00  ,  86.00  ,  904.10  ,  904.10  ,  2676.00
21.00  ,  96.00  ,  79.00  ,  862.10  ,  862.10  ,  2606.00
47.00  ,  31.00  ,  51.00  ,  533.00  ,  533.00  ,  1681.00
90.00  ,  69.00  ,  100.00  ,  1054.70  ,  1054.70  ,  3377.00
34.00  ,  71.00  ,  26.00  ,  348.50  ,  348.50  ,  1695.00
68.00  ,  81.00  ,  71.00  ,  792.50  ,  792.50  ,  2863.00
22.00  ,  33.00  ,  64.00  ,  642.70  ,  642.70  ,  1589.00
54.00  ,  61.00  ,  35.00  ,  428.30  ,  428.30  ,  1931.00
67.00  ,  41.00  ,  45.00  ,  500.80  ,  500.80  ,  1967.00
94.00  ,  81.00  ,  20.00  ,  336.30  ,  336.30  ,  2461.00
91.00  ,  99.00  ,  66.00  ,  781.40  ,  781.40  ,  3303.00
57.00  ,  25.00  ,  95.00  ,  935.00  ,  935.00  ,  2339.00
38.00  ,  66.00  ,  65.00  ,  702.80  ,  702.80  ,  2224.00
73.00  ,  47.00  ,  45.00  ,  511.60  ,  511.60  ,  2117.00
83.00  ,  52.00  ,  54.00  ,  605.90  ,  605.90  ,  2428.00
41.00  ,  36.00  ,  44.00  ,  472.10  ,  472.10  ,  1576.00
88.00  ,  82.00  ,  27.00  ,  399.00  ,  399.00  ,  2500.00
43.00  ,  47.00  ,  28.00  ,  340.20  ,  340.20  ,  1519.00
23.00  ,  24.00  ,  94.00  ,  907.50  ,  907.50  ,  1904.00
26.00  ,  98.00  ,  31.00  ,  425.60  ,  425.60  ,  2020.00
81.00  ,  44.00  ,  24.00  ,  318.50  ,  318.50  ,  1880.00
53.00  ,  96.00  ,  72.00  ,  813.70  ,  813.70  ,  2892.00
30.00  ,  84.00  ,  91.00  ,  961.40  ,  961.40  ,  2726.00
29.00  ,  42.00  ,  41.00  ,  446.30  ,  446.30  ,  1468.00
61.00  ,  27.00  ,  66.00  ,  672.80  ,  672.80  ,  2007.00
